Title,Region,Country,Servings
Emeril Lagasse's Moroccan Mint Tea,Northern Africa,Moroccan,4
Couscous Salad,Northern Africa,Moroccan,4-6
Mediterranean Chicken Pie,Northern Africa,Moroccan,2 individual pies
Moroccan Lamb Stew (Williams-Sonoma),Northern Africa,Moroccan,6
Citrus Chicken Tagine,Northern Africa,Moroccan,8
Moroccan Carrot and Date Salad,Northern Africa,Moroccan,4
Chicken Couscous One Pot,Northern Africa,Moroccan,4
Harissa - Moroccan Hot Sauce,Northern Africa,Moroccan,1/2 cup
Moroccan Vegetable Soup,Northern Africa,Moroccan,6-8 cups
Moroccan Bean and Pepper Stew,Northern Africa,Moroccan,6
Spicy Moroccan Chicken With Apricots and Prunes (Low Fat),Northern Africa,Moroccan,8
Moroccan Chickpea Salad,Northern Africa,Moroccan,2
Moroccan Chicken Breasts,Northern Africa,Moroccan,4
Moroccan Chicken Wings,Northern Africa,Moroccan,12 appetizer servings
Couscous With Sun-Dried Tomatoes & Coriander,Northern Africa,Moroccan,3-4
Salatat Botukan Wa Zaytoon (Olive and Orange Salad),Northern Africa,Moroccan,6
Moroccan Chicken Bundles,Northern Africa,Moroccan,32 rolls
Moroccan Honey Hummus,Northern Africa,Moroccan,12
Moroccan Couscous Pilaf,Northern Africa,Moroccan,6
Moroccan lamb shanks with polenta and white beans,Northern Africa,Moroccan,6
"Fish Tagine With Tomatoes, Capers, and Cinnamon",Northern Africa,Moroccan,4
Moroccan Cauliflower-Apple Saffron Soup With Mushrooms,Northern Africa,Moroccan,8
Barbecued Mechoui Lamb,Northern Africa,Moroccan,1 leg Lamb
Harissa Paste,Northern Africa,Moroccan,1 Cup
"Yogurt, Mint and Golden Raisin Dressing",Northern Africa,Moroccan,1 1/2 cups
Moroccan Shrimp Briwats (Like Egg Rolls),Northern Africa,Moroccan,15 briwats (a rough estimate)
Crock Pot Moroccan Chicken,Northern Africa,Moroccan,4
Marinated Moroccan Olives,Northern Africa,Moroccan,2 1/4 cups
Moroccan Bread,Northern Africa,Moroccan,2 loaves bread
Moroccan-Spiced Vinaigrette,Northern Africa,Moroccan,1 cup
Chicken Tagine With Chickpeas and Mint,Northern Africa,Moroccan,4
Got the 2bleu's Hot Sauce,Northern Africa,Moroccan,1/2 cup
Moroccan Tagine Berber,Northern Africa,Moroccan,6
Moroccan Chorba,Northern Africa,Moroccan,4-6
Moroccan Spice Glaze,Northern Africa,Moroccan,1/4 cup
Moroccan Chicken,Northern Africa,Moroccan,6
Grilled Moroccan Chicken With Curried Couscous,Northern Africa,Moroccan,4
African Chopped Salad With Yogurt and Brown Butter,Northern Africa,Moroccan,4
Kesra - Moroccan Bread,Northern Africa,Moroccan,2 loaves
Moroccan-Style Braised Baby Lamb Shanks,Northern Africa,Moroccan,4
Moroccan Lemon Chicken,Northern Africa,Moroccan,4-6
Moroccan Spice Blend,Northern Africa,Moroccan,2 tablespoons
Hajar's Harcha,Northern Africa,Moroccan,6
Rahma's Moroccan Harira Soup,Northern Africa,Moroccan,8-10 bowls
Quick Preserved Lemons,Northern Africa,Moroccan,1/2 cup
Preserved Lemons,Northern Africa,Moroccan,4 Preserved Lemons
The Essential Harissa,Northern Africa,Moroccan,20 fl. oz.
Moroccan Coffee With Six Fragrant Spices,Northern Africa,Moroccan,4-6
Orange Pomegranate Basmati Salad,Northern Africa,Moroccan,6
Moroccan Chicken - Pritikin Style,Northern Africa,Moroccan,6-8
Moroccan Lamb Sausage Rolls,Northern Africa,Moroccan,48
Moroccan Salad of Raw Grated Carrots-Citrus Cinnamon Dressing,Northern Africa,Moroccan,4
Amalou (Almond Honey Butter),Northern Africa,Moroccan,3/4 cup
Moroccan Spiced Cauliflower and Almond Soup,Northern Africa,Moroccan,4
Green-Olive Chicken and Couscous,Northern Africa,Moroccan,4
Moroccan Spice Mix,Northern Africa,Moroccan,1 (1/4) cup spice mix
Moroccan Meat Turnovers,Northern Africa,Moroccan,4
Moroccan Fried Fish Spice Blend,Northern Africa,Moroccan,5 1/2 tsp
Meatball and Peas Tagine,Northern Africa,Moroccan,4-6
Chicken Croquettes,Northern Africa,Moroccan,4
Limoonada,Northern Africa,Moroccan,1 large jug limoonada
Pasta With Currants and Pine Nuts,Northern Africa,Moroccan,4
Apple Milk Drink (Sharbat),Northern Africa,Moroccan,2-4
Grilled Moroccan Chicken Thighs,Northern Africa,Moroccan,4
Semolina Pancakes,Northern Africa,Moroccan,12
Moroccan Okra Salad,Northern Africa,Moroccan,4-6
Spicy Moroccan Carrot Salad,Northern Africa,Moroccan,4
"Bow-Tie Salad With Scallops, Black Olives, Oranges, and Mint",Northern Africa,Moroccan,4
30-Minute Chicken Tagine,Northern Africa,Moroccan,4
"Moroccan Date, Orange and Carrot Salad",Northern Africa,Moroccan,4
Moroccan-Spiced Chicken Breasts,Northern Africa,Moroccan,4 chicken breasts
Moroccan-Style Chickpea Soup,Northern Africa,Moroccan,3-4
Carrot Salad With Fresh Orange Juice,Northern Africa,Moroccan,6
Moroccan Chicken and Lentils,Northern Africa,Moroccan,12
Moroccan Style Turkey Spaghetti & Meatballs,Northern Africa,Moroccan,20 1 inch meatballs
Moroccan Lentil Soup With Chickpeas,Northern Africa,Moroccan,10
Grilled Rib Eye Brochettes With Charmoula,Northern Africa,Moroccan,6-8
Moroccan Vegetable Soup With Chicken and Rice,Northern Africa,Moroccan,4-6
Candied Peanuts (Caramelized Peanuts),Northern Africa,Moroccan,16
Moroccan Spiced Salmon over Lentils,Northern Africa,Moroccan,4
Moroccan Spiced Carrot Soup,Northern Africa,Moroccan,6
Moroccan Vegetable Tagine,Northern Africa,Moroccan,2
Five-Spice Moroccan Coucous Salad,Northern Africa,Moroccan,4
Moroccan Carrot Salad With Oranges and Medjool Dates,Northern Africa,Moroccan,8
Ras El Hanout #2,Northern Africa,Moroccan,1
Moroccan Spice Rub (For Lamb & Other Meat),Northern Africa,Moroccan,5 Tablespoons
PAULa WOLFERT'S MOROCCAN EGGPLANT ZAALOUK,Northern Africa,Moroccan,4
Moroccan Spiced Chicken Stew With Carrots,Northern Africa,Moroccan,2-3 cups
Hajar's Chicken and Raisin Couscous Topping,Northern Africa,Moroccan,8
Quick As a Wink Preserving Lemons,Northern Africa,Moroccan,1 pint
Moroccan Fish Tajine,Northern Africa,Moroccan,4-6
Moroccan Orange and Olive Salad,Northern Africa,Moroccan,4
Milk With Saffron,Northern Africa,Moroccan,8
Moroccan Spiced Preserved Lemons,Northern Africa,Moroccan,8 preserved lemons
Lamb Tagine With Green Olives and Lemon,Northern Africa,Moroccan,12
Moroccan (Ish) Vegetable Stir Fry,Northern Africa,Moroccan,1-3
Spicy Moroccan Lamb Chops,Northern Africa,Moroccan,4
Moroccan-Spiced Leg of Lamb En Cocotte With Olives,Northern Africa,Moroccan,8
Ginger-Garlic Hummus,Northern Africa,Moroccan,2 1/2 cups
Moroccan Chicken Tagine With Sun-Dried Tomatoes and Artichokes,Northern Africa,Moroccan,1 Dinner for 2-3 with left overs
Marrakech Tagine Bread,Northern Africa,Moroccan,4-6 rounds
Bissara (Fava Bean Puree),Northern Africa,Moroccan,4-6
Moorish Zucchini Salad - Ensalada De Calabacines a La Morisco,Northern Africa,Moroccan,6 plates
Tajine Spices,Northern Africa,Moroccan,6 tablespoons
Moroccan Eggplant Stew,Northern Africa,Moroccan,10
Watermelon Tart - Morocco,Northern Africa,Moroccan,4-6
Moroccan Tomato Dip,Northern Africa,Moroccan,2 cups
